accession, tissue
SRR636251, abdominal adipose
SRR1299049, white adipose
ERR348570, hypothalamus
SRR636253, abdominal adipose
SRR924552, hypothalamus
ERR348564, adipose
SRR1299037, white adipose
SRR924555, liver
ERR664975, bone marrow macrophage
SRR1299039, white adipose
ERR348561, kidney
SRR924553, kidney
ERR664974, embryonic cell
SRR924485, adipose
ERR652851, macrophage
SRR636257, abdominal adipose
SRR636267, abdominal adipose
SRR1811335, basilar papilla
ERR348567, adipose
SRR636263, abdominal adipose
SRR636262, abdominal adipose
ERR348577, parietal nerve
SRR636258, abdominal adipose
ERR652850, heterophil
SRR924573, proventriculus
SRR636250, abdominal adipose
SRR924548, ovary
ERR664973, DF-1 cell
SRR636249, abdominal adipose
SRR924549, heart
SRR636259, abdominal adipose
SRR636252, abdominal adipose
ERR348586, liver
SRR636271, abdominal adipose
SRR1299048, white adipose
SRR924539, adipose
SRR1299044, white adipose
SRR924547, testis
ERR348573, liver
SRR636272, abdominal adipose
SRR636261, abdominal adipose
ERR348579, lung
ERR348571, ovary
SRR1299042, white adipose
ERR348568, spleen
SRR1299046, white adipose
ERR348563, cerebellum
SRR636260, abdominal adipose
SRR636265, abdominal adipose
SRR1299040, white adipose
SRR636264, abdominal adipose
SRR636268, abdominal adipose
SRR636270, abdominal adipose
SRR636266, abdominal adipose
SRR924550, heart
SRR636255, abdominal adipose
SRR636256, abdominal adipose
SRR636269, abdominal adipose
ERR348583, heart
ERR348562, proventriculus
ERR348560, breast muscle
ERR652849, dendritic cell
ERR348569, heart
SRR924567, parietal nerve
SRR924561, breast muscle
SRR924546, cerebrum
ERR348576, adrenal gland
SRR924558, lung
SRR924556, liver
SRR636254, abdominal adipose
ERR348566, cerebrum
ERR348580, testis
SRR924541, cerebellum
SRR924585, spleen
ERR348575, hypothalamus
ERR348574, kidney
ERR348585, spleen
ERR348578, breast muscle
ERR348582, lung
ERR348565, proventriculus
ERR348581, parietal nerve
ERR348572, cerebrum
ERR348584, cerebellum
ERR569566, tibial bone
ERR569577, tibial bone
ERR569578, tibial bone
ERR569574, tibial bone
ERR569576, tibial bone
ERR569571, tibial bone
ERR569572, tibial bone
ERR569582, tibial bone
ERR569573, tibial bone
ERR569563, tibial bone
ERR569580, tibial bone
ERR569570, tibial bone
ERR569581, tibial bone
ERR569568, tibial bone
ERR569569, tibial bone
ERR569564, tibial bone
ERR569583, tibial bone
ERR569562, tibial bone
ERR569565, tibial bone
ERR569561, tibial bone
ERR569575, tibial bone
ERR569567, tibial bone
ERR569560, tibial bone
ERR569579, tibial bone
ERR652848, macrophage
ERR652853, heterophil
ERR652852, dendritic cell
ERR664972, bone marrow macrophage
SRR538806, gonads
SRR536787, blastoderm
SRR534005, blastoderm
SRR536788, gonads
SRR1956756, gonads
SRR536786, blastoderm
SRR538807, gonads
SRR1956753, gonads
SRR534006, blastoderm
SRR1956754, gonads
SRR536790, gonads
SRR1956755, gonads
SRR546495, magnum
SRR546492, magnum
SRR546496, uterus
SRR546487, ovary
SRR546497, uterus
SRR546478, ovary
SRR912956, DT40 Cre1
SRR924540, cerebellum
SRR924559, breast muscle
SRR924542, cerebrum
SRR924554, kidney
SRR924557, lung
SRR924551, hypothalamus
SRR924202, adrenal gland
SRR924570, proventriculus
SRR924564, parietal nerve
SRR924582, spleen
SRR1636051, chicken magnum
SRR1635918, chicken magnum
SRR1185950, chicken magnum
SRR1182481, chicken magnum
SRR1639602, chicken magnum
SRR1048543, embryo
SRR1048560, embryo
SRR1048562, embryo
SRR1048566, embryo
SRR1048538, embryo
SRR1048539, embryo
SRR1048537, embryo
SRR1048563, embryo
SRR1048572, embryo
SRR1048558, embryo
SRR1048554, embryo
SRR1048546, embryo
SRR1048536, embryo
SRR1048549, embryo
